epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,,49,0.20451980829238892,0.6858761310577393,,,
0,,99,0.5017340183258057,0.4477885961532593,,,
0,,149,0.44158855080604553,0.38650602102279663,,,
0,,199,0.3449646830558777,0.4767325222492218,,,
0,,249,0.452766478061676,0.44285914301872253,,,
0,,299,0.37200793623924255,0.4959850609302521,,,
0,,349,0.27493008971214294,0.5234124660491943,,,
0,,399,0.5311487913131714,0.46382588148117065,,,
0,,449,0.19418135285377502,0.6694952845573425,,,
0,0.2447122186422348,459,,,0.9149789316297404,0.18593110144138336,1.2788256406784058
1,,499,0.38675010204315186,0.4569229185581207,,,
1,,549,0.2711039185523987,0.5494810938835144,,,
1,,599,0.4436720013618469,0.5522708892822266,,,
1,,649,0.2838948965072632,0.44825077056884766,,,
1,,699,0.27800068259239197,0.7721425890922546,,,
1,,749,0.31405943632125854,0.49656468629837036,,,
1,,799,0.16186615824699402,0.6994075179100037,,,
1,,849,0.24727098643779755,0.6008032560348511,,,
1,,899,0.30073094367980957,0.5020036697387695,,,
1,0.4624086916446686,919,,,0.8476281092836754,0.34193897247314453,1.066446304321289
2,,949,0.12985114753246307,0.7853657007217407,,,
2,,999,0.10676730424165726,0.8341060876846313,,,
2,,1049,0.06400173902511597,0.8139426112174988,,,
2,,1099,0.06378628313541412,0.910260796546936,,,
2,,1149,0.07471561431884766,0.8900925517082214,,,
2,,1199,0.10901051759719849,0.8955438137054443,,,
2,,1249,0.07268954068422318,0.9440793991088867,,,
2,,1299,0.03985637426376343,0.8990449905395508,,,
2,,1349,0.049863651394844055,0.9150533676147461,,,
2,0.4739910066127777,1379,,,0.6876444202800054,0.18935170769691467,0.749311089515686
3,,1399,0.0588521771132946,0.8734698295593262,,,
3,,1449,0.051724739372730255,0.9109712839126587,,,
3,,1499,0.04876508563756943,0.9266230463981628,,,
3,,1549,0.049473006278276443,0.9109451174736023,,,
3,,1599,0.062203336507081985,0.896587073802948,,,
3,,1649,0.06443054974079132,0.9316954612731934,,,
3,,1699,0.04678758233785629,0.8558100461959839,,,
3,,1749,0.08593030273914337,0.8571832180023193,,,
3,,1799,0.08265715092420578,0.9354258179664612,,,
3,0.4633731245994568,1839,,,0.9679217072176158,0.06630151718854904,1.177734375
4,,1849,0.04928618296980858,0.9182662963867188,,,
4,,1899,0.06116768345236778,0.8840265274047852,,,
4,,1949,0.05229499563574791,0.9244523048400879,,,
4,,1999,0.04830211028456688,0.9819917678833008,,,
4,,2049,0.04380153864622116,0.952061116695404,,,
4,,2099,0.0456518717110157,0.9068012833595276,,,
4,,2149,0.03883513808250427,0.9541479349136353,,,
4,,2199,0.033094607293605804,0.9590320587158203,,,
4,,2249,0.04984073340892792,0.9340975880622864,,,
4,,2299,0.05774355307221413,0.9188199043273926,,,
4,0.4771159887313843,2299,,,0.6310316705178741,0.053175121545791626,0.8815904855728149
5,,2349,0.05307292193174362,0.9002231955528259,,,
5,,2399,0.04184404015541077,0.929162323474884,,,
5,,2449,0.05084244906902313,0.9203668832778931,,,
5,,2499,0.04121387004852295,0.8615517020225525,,,
5,,2549,0.11171440780162811,0.8648877143859863,,,
5,,2599,0.07557594776153564,0.8894020318984985,,,
5,,2649,0.08774667233228683,0.9431072473526001,,,
5,,2699,0.14473004639148712,0.8187059164047241,,,
5,,2749,0.0819568932056427,0.8405455350875854,,,
5,0.48621925711631775,2759,,,0.581690906619546,0.11956291645765305,0.7713230848312378
6,,2799,0.07081817090511322,0.7795687913894653,,,
6,,2849,0.0784456729888916,0.8627934455871582,,,
6,,2899,0.10077690333127975,0.8910549283027649,,,
6,,2949,0.10242360830307007,0.8129100799560547,,,
6,,2999,0.11585871130228043,0.8843393921852112,,,
6,,3049,0.08955520391464233,0.8698089718818665,,,
6,,3099,0.15022769570350647,0.7345369458198547,,,
6,,3149,0.09933938086032867,0.8553766012191772,,,
6,,3199,0.11424106359481812,0.840390682220459,,,
6,0.5022385120391846,3219,,,0.5310588555117575,0.24848663806915283,0.5549988746643066
7,,3249,0.06862354278564453,0.8511296510696411,,,
7,,3299,0.10051542520523071,0.8180928230285645,,,
7,,3349,0.11192941665649414,0.8169987201690674,,,
7,,3399,0.0945022702217102,0.8406810164451599,,,
7,,3449,0.08277012407779694,0.860668420791626,,,
7,,3499,0.07698532193899155,0.8161182403564453,,,
7,,3549,0.09979517012834549,0.8422114849090576,,,
7,,3599,0.05436765030026436,0.8235072493553162,,,
7,,3649,0.06632150709629059,0.8699674606323242,,,
7,0.49922263622283936,3679,,,0.6018078020932446,0.13455063104629517,0.723333477973938
8,,3699,0.04694858193397522,0.8774633407592773,,,
8,,3749,0.07968504726886749,0.9363981485366821,,,
8,,3799,0.0351005494594574,0.8919569253921509,,,
8,,3849,0.036569077521562576,0.9537829160690308,,,
8,,3899,0.052277084439992905,0.9458621740341187,,,
8,,3949,0.04799399524927139,0.938245415687561,,,
8,,3999,0.05734909325838089,0.8306868672370911,,,
8,,4049,0.04426614195108414,0.9256409406661987,,,
8,,4099,0.04795827344059944,0.9197648167610168,,,
8,0.5136515498161316,4139,,,0.590322142177518,0.13000953197479248,0.7208614349365234
9,,4149,0.06327959150075912,0.9028995633125305,,,
9,,4199,0.08425147086381912,0.8422563076019287,,,
9,,4249,0.08014309406280518,0.9559827446937561,,,
9,,4299,0.032334040850400925,0.9238210916519165,,,
9,,4349,0.03994133323431015,0.9525117874145508,,,
9,,4399,0.04434356093406677,0.9604434967041016,,,
9,,4449,0.10821321606636047,0.9858015775680542,,,
9,,4499,0.06724810600280762,1.0003619194030762,,,
9,,4549,0.04114438593387604,0.8752356767654419,,,
9,,4599,0.042174965143203735,0.8972444534301758,,,
9,0.5133864879608154,4599,,,0.536835666711975,0.2801634669303894,0.5291293859481812
10,,4649,0.06071577966213226,0.9274952411651611,,,
10,,4699,0.03407103195786476,0.9573330879211426,,,
10,,4749,0.049781057983636856,0.941265344619751,,,
10,,4799,0.04749046266078949,0.9508484601974487,,,
10,,4849,0.03436043858528137,0.8947051763534546,,,
10,,4899,0.04179472103714943,0.9426878690719604,,,
10,,4949,0.018133528530597687,0.9146210551261902,,,
10,,4999,0.01901557855308056,0.9402241706848145,,,
10,,5049,0.029694024473428726,0.9368186593055725,,,
10,0.5143375992774963,5059,,,0.5447872774228626,0.25641366839408875,0.556587278842926
11,,5099,0.03954169899225235,0.959800124168396,,,
11,,5149,0.04733923077583313,0.959502100944519,,,
11,,5199,0.026709970086812973,0.9573797583580017,,,
11,,5249,0.027503110468387604,0.9306151866912842,,,
11,,5299,0.04388841986656189,1.024803638458252,,,
11,,5349,0.011545141227543354,1.0104976892471313,,,
11,,5399,0.025299422442913055,0.9588667154312134,,,
11,,5449,0.026967953890562057,0.9890183806419373,,,
11,,5499,0.02325506880879402,0.9743213057518005,,,
11,0.4961110055446625,5519,,,0.5410493407638983,0.07997843623161316,0.7892374396324158
12,,5549,0.030228350311517715,1.011932134628296,,,
