epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,,49,0.17957617342472076,0.9494289755821228,,,
0,,99,0.251751184463501,0.5459327697753906,,,
0,,149,0.24722908437252045,0.5366929173469543,,,
0,,199,0.42147397994995117,0.49144208431243896,,,
0,,249,0.4019506275653839,0.421171098947525,,,
0,,299,0.3695145547389984,0.49688348174095154,,,
0,,349,0.3449992537498474,0.4989360272884369,,,
0,,399,0.42528435587882996,0.4638277292251587,,,
0,,449,0.3201689124107361,0.48607775568962097,,,
0,0.23312321305274963,459,,,0.5147478591817317,0.35870710015296936,0.620478630065918
1,,499,0.26907771825790405,0.4730929136276245,,,
1,,549,0.3110266923904419,0.5470923185348511,,,
1,,599,0.2803876996040344,0.6668055057525635,,,
1,,649,0.36545640230178833,0.5832244753837585,,,
1,,699,0.32527339458465576,0.5832998752593994,,,
1,,749,0.19132331013679504,0.6512162685394287,,,
1,,799,0.24652644991874695,0.5306915640830994,,,
1,,849,0.29003554582595825,0.5679221749305725,,,
1,,899,0.34970900416374207,0.5160666704177856,,,
1,0.35395804047584534,919,,,0.5545059127361697,0.3268151581287384,0.43914565443992615
2,,949,0.21238285303115845,0.6464788913726807,,,
2,,999,0.11258233338594437,0.8764613270759583,,,
2,,1049,0.11210416257381439,0.8062201738357544,,,
2,,1099,0.08243411034345627,0.8987263441085815,,,
2,,1149,0.047164350748062134,0.9064351916313171,,,
2,,1199,0.06731467694044113,0.9229753017425537,,,
2,,1249,0.06216772273182869,0.8992493152618408,,,
2,,1299,0.06031714007258415,0.8840168714523315,,,
2,,1349,0.061611372977495193,0.922951340675354,,,
2,0.4587402045726776,1379,,,0.68526573331521,0.18393950164318085,0.7621023058891296
3,,1399,0.03607843816280365,0.952874481678009,,,
3,,1449,0.03886203467845917,0.9541367292404175,,,
3,,1499,0.04791650176048279,0.933351993560791,,,
3,,1549,0.05252693593502045,0.9472411870956421,,,
3,,1599,0.04183533787727356,0.9405232071876526,,,
3,,1649,0.053360749036073685,0.9882804155349731,,,
3,,1699,0.06226973608136177,0.8841555714607239,,,
3,,1749,0.042291395366191864,0.9215232133865356,,,
3,,1799,0.050100937485694885,0.882394015789032,,,
3,0.45139655470848083,1839,,,0.9089982329753976,0.07136228680610657,1.1825625896453857
4,,1849,0.06911064684391022,0.8924519419670105,,,
4,,1899,0.09553728997707367,0.85463547706604,,,
4,,1949,0.12087689340114594,0.8519033193588257,,,
4,,1999,0.07714729756116867,0.8665909767150879,,,
4,,2049,0.06858192384243011,0.7917582988739014,,,
4,,2099,0.07118012756109238,0.939186692237854,,,
4,,2149,0.05984419584274292,0.9846190810203552,,,
4,,2199,0.05204891785979271,0.8848224878311157,,,
4,,2249,0.035391539335250854,0.8535999059677124,,,
4,,2299,0.04840991646051407,0.9997704029083252,,,
4,0.4685361683368683,2299,,,0.8522495582438494,0.04383267089724541,1.0805686712265015
5,,2349,0.06144978851079941,0.966727614402771,,,
5,,2399,0.05103903263807297,0.9387096762657166,,,
5,,2449,0.04715127497911453,0.9065793752670288,,,
5,,2499,0.03281228989362717,0.9811338782310486,,,
5,,2549,0.07161596417427063,0.9784207344055176,,,
5,,2599,0.06812408566474915,0.9027448892593384,,,
5,,2649,0.09840129315853119,0.8995457887649536,,,
5,,2699,0.07963058352470398,0.8517837524414062,,,
5,,2749,0.08337718993425369,0.8829526901245117,,,
5,0.4772385060787201,2759,,,0.6250509718635313,0.0825582817196846,0.8368949294090271
6,,2799,0.07935310900211334,0.8222636580467224,,,
6,,2849,0.10811595618724823,0.7848175764083862,,,
6,,2899,0.12067100405693054,0.7528088092803955,,,
6,,2949,0.10999289155006409,0.8581796884536743,,,
6,,2999,0.10824568569660187,0.8448883891105652,,,
6,,3049,0.08943293243646622,0.818915605545044,,,
6,,3099,0.11198798567056656,0.7908226251602173,,,
6,,3149,0.1048346757888794,0.8632264137268066,,,
6,,3199,0.06464523077011108,0.7723852396011353,,,
6,0.49801987409591675,3219,,,0.5820986815277966,0.15520331263542175,0.6999540328979492
7,,3249,0.08762801438570023,0.8906353712081909,,,
7,,3299,0.07669354975223541,0.9348272681236267,,,
7,,3349,0.06480808556079865,0.8917297720909119,,,
7,,3399,0.04776801913976669,0.9097917079925537,,,
7,,3449,0.08920229971408844,0.9445518255233765,,,
7,,3499,0.07269401848316193,0.9427070021629333,,,
7,,3549,0.06342094391584396,0.8561501502990723,,,
7,,3599,0.08235956728458405,0.8925895094871521,,,
7,,3649,0.0647578239440918,0.9107437133789062,,,
7,0.4976256191730499,3679,,,0.78204431154003,0.05506676435470581,0.9580273628234863
8,,3699,0.08370997756719589,0.856769323348999,,,
8,,3749,0.0927499309182167,0.9381774663925171,,,
8,,3799,0.08206655085086823,0.939235270023346,,,
8,,3849,0.09839431941509247,0.8890127539634705,,,
8,,3899,0.07526974380016327,0.8967354893684387,,,
8,,3949,0.08909972012042999,0.9049605131149292,,,
8,,3999,0.03160576522350311,0.9010448455810547,,,
8,,4049,0.061666715890169144,0.8702404499053955,,,
8,,4099,0.034709446132183075,0.9280017614364624,,,
8,0.5056552886962891,4139,,,0.8885415250781569,0.03875589370727539,1.0411800146102905
9,,4149,0.06190359964966774,0.912433385848999,,,
9,,4199,0.024852968752384186,0.9820950031280518,,,
9,,4249,0.05508178472518921,0.963443398475647,,,
9,,4299,0.01879674568772316,1.0122437477111816,,,
9,,4349,0.03919001668691635,0.9323899745941162,,,
9,,4399,0.022397786378860474,0.9147064685821533,,,
9,,4449,0.09292708337306976,0.9348875880241394,,,
9,,4499,0.02842448279261589,0.9495142102241516,,,
9,,4549,0.06398294866085052,0.9081044793128967,,,
9,,4599,0.10348236560821533,0.9118251204490662,,,
9,0.5197589993476868,4599,,,0.5578360744868832,0.09733173251152039,0.7813664674758911
10,,4649,0.08408802002668381,0.8771986961364746,,,
10,,4699,0.05183485522866249,0.8462357521057129,,,
10,,4749,0.07495338469743729,0.9243121147155762,,,
10,,4799,0.07004368305206299,0.8690876960754395,,,
10,,4849,0.04054970666766167,0.9477329254150391,,,
10,,4899,0.027825089171528816,0.9047422409057617,,,
10,,4949,0.053053200244903564,0.9275702238082886,,,
10,,4999,0.04853291064500809,0.9455472230911255,,,
10,,5049,0.03540309518575668,0.9284184575080872,,,
10,0.5306753516197205,5059,,,0.6019437270626614,0.0838773101568222,0.8049737811088562
11,,5099,0.04388432949781418,0.9955517053604126,,,
11,,5149,0.027849840000271797,0.9113188982009888,,,
11,,5199,0.0334223210811615,0.9762334227561951,,,
11,,5249,0.07208055257797241,0.9703874588012695,,,
11,,5299,0.043768107891082764,0.9158223867416382,,,
11,,5349,0.0336935892701149,0.9136476516723633,,,
11,,5399,0.03507142513990402,0.9703522324562073,,,
11,,5449,0.05358627066016197,0.9619662761688232,,,
11,,5499,0.03802052512764931,0.9508901834487915,,,
11,0.5468304753303528,5519,,,0.5540301753432105,0.21456076204776764,0.606773853302002
12,,5549,0.027982451021671295,0.8891278505325317,,,
12,,5599,0.050406359136104584,0.9180771708488464,,,
12,,5649,0.0285780131816864,0.9326403737068176,,,
12,,5699,0.028716526925563812,0.9702040553092957,,,
12,,5749,0.03412799537181854,0.9639908075332642,,,
12,,5799,0.045316360890865326,0.9103597402572632,,,
12,,5849,0.01893983781337738,0.954116702079773,,,
12,,5899,0.03526453673839569,0.9880437850952148,,,
12,,5949,0.01712312363088131,0.9667558670043945,,,
12,0.5459818243980408,5979,,,0.6548185401658284,0.10175469517707825,0.8117648959159851
13,,5999,0.021229654550552368,0.9903173446655273,,,
13,,6049,0.028042353689670563,0.9301573634147644,,,
13,,6099,0.06081104278564453,0.9290977120399475,,,
13,,6149,0.020951388403773308,0.9766489863395691,,,
13,,6199,0.04538685828447342,0.957243800163269,,,
13,,6249,0.040275685489177704,0.9398362040519714,,,
13,,6299,0.037942785769701004,0.9857163429260254,,,
13,,6349,0.0527140311896801,0.968135416507721,,,
