epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,,49,0.4645459055900574,0.42681121826171875,,,
0,,99,0.3399661183357239,0.4536447525024414,,,
0,,149,0.40394026041030884,0.35546767711639404,,,
0,,199,0.2507002353668213,0.5837623476982117,,,
0,,249,0.3388988673686981,0.522758960723877,,,
0,,299,0.46265357732772827,0.5741257667541504,,,
0,,349,0.3206017017364502,0.4679287374019623,,,
0,,399,0.43625408411026,0.49356144666671753,,,
0,,449,0.3255322575569153,0.4884915053844452,,,
0,0.25596266984939575,459,,,0.5,0.27070119976997375,0.6821354031562805
1,,499,0.3810298442840576,0.4845629334449768,,,
1,,549,0.3319852352142334,0.5641328692436218,,,
1,,599,0.30120086669921875,0.4941718876361847,,,
1,,649,0.23523969948291779,0.614957332611084,,,
1,,699,0.3560349941253662,0.40122389793395996,,,
1,,749,0.24806994199752808,0.5035176277160645,,,
1,,799,0.4977853298187256,0.4273679852485657,,,
1,,849,0.25065046548843384,0.5398584008216858,,,
1,,899,0.512189507484436,0.3762110769748688,,,
1,0.2673757076263428,919,,,0.5,0.34887298941612244,0.4804302155971527
2,,949,0.3022962212562561,0.4861755967140198,,,
2,,999,0.23317275941371918,0.6608736515045166,,,
2,,1049,0.3091038763523102,0.44248586893081665,,,
2,,1099,0.18614819645881653,0.6960371136665344,,,
2,,1149,0.2985195815563202,0.5557597875595093,,,
2,,1199,0.2523290514945984,0.6000511646270752,,,
2,,1249,0.1464281678199768,0.8778243660926819,,,
2,,1299,0.07875069975852966,0.9880627989768982,,,
2,,1349,0.0577731654047966,0.8654003739356995,,,
2,0.4772385060787201,1379,,,0.6190023107244801,0.39819279313087463,0.5685510635375977
3,,1399,0.09182119369506836,0.9096980690956116,,,
3,,1449,0.03952280431985855,0.9338637590408325,,,
3,,1499,0.08002009987831116,0.9352514743804932,,,
3,,1549,0.0756974145770073,0.9240281581878662,,,
3,,1599,0.054736435413360596,0.8573208451271057,,,
3,,1649,0.05705855041742325,0.8793051242828369,,,
3,,1699,0.038914911448955536,0.8932192325592041,,,
3,,1749,0.05226895958185196,0.8972720503807068,,,
3,,1799,0.04968206584453583,0.8920884132385254,,,
3,0.4666273295879364,1839,,,0.9013184722033437,0.06751637160778046,1.1545838117599487
4,,1849,0.043367691338062286,0.9274955987930298,,,
4,,1899,0.08501137048006058,0.9126180410385132,,,
4,,1949,0.07580013573169708,0.8966681957244873,,,
4,,1999,0.054782889783382416,0.8867977857589722,,,
4,,2049,0.08261876553297043,0.7946614623069763,,,
4,,2099,0.05608613044023514,0.9203133583068848,,,
4,,2149,0.05875103920698166,0.9181274175643921,,,
4,,2199,0.07429724931716919,0.8598852157592773,,,
4,,2249,0.06343676894903183,0.9233400821685791,,,
4,,2299,0.05126655101776123,0.9315910935401917,,,
4,0.4802075922489166,2299,,,0.9403289384259889,0.06027478352189064,1.2068190574645996
5,,2349,0.05998270958662033,0.8849735260009766,,,
5,,2399,0.07332425564527512,0.9532390236854553,,,
5,,2449,0.08813223242759705,0.8772019147872925,,,
5,,2499,0.08702018111944199,0.843282163143158,,,
5,,2549,0.09328334778547287,0.8517327904701233,,,
5,,2599,0.132501482963562,0.8523172736167908,,,
5,,2649,0.13244329392910004,0.9121667146682739,,,
5,,2699,0.11332942545413971,0.8012306690216064,,,
5,,2749,0.17881116271018982,0.8355485200881958,,,
5,0.4959818124771118,2759,,,0.6045263014815822,0.1167130321264267,0.7629876136779785
6,,2799,0.08036600053310394,0.798966646194458,,,
6,,2849,0.1264926940202713,0.8866491913795471,,,
6,,2899,0.11020192503929138,0.8797644972801208,,,
6,,2949,0.07042114436626434,0.757457435131073,,,
6,,2999,0.11403369903564453,0.8749918937683105,,,
6,,3049,0.06319958716630936,0.8296201229095459,,,
6,,3099,0.11535236239433289,0.853922963142395,,,
6,,3149,0.12810614705085754,0.8063815236091614,,,
6,,3199,0.09037166088819504,0.7975510358810425,,,
6,0.5141950249671936,3219,,,0.7927144216392551,0.086424320936203,0.9654607176780701
7,,3249,0.09035949409008026,0.8758858442306519,,,
7,,3299,0.05369693413376808,0.8329992294311523,,,
7,,3349,0.05642169341444969,0.8584358096122742,,,
7,,3399,0.0553203821182251,0.9008866548538208,,,
7,,3449,0.06653749942779541,0.8778870105743408,,,
7,,3499,0.062352508306503296,0.9024609327316284,,,
7,,3549,0.07539567351341248,0.8999446630477905,,,
7,,3599,0.07560379803180695,0.8463287949562073,,,
7,,3649,0.041974619030952454,0.92000412940979,,,
7,0.5224496722221375,3679,,,0.6943727062661411,0.06276290863752365,0.9073254466056824
8,,3699,0.08297739923000336,0.9602891206741333,,,
8,,3749,0.05549779534339905,0.9304007887840271,,,
8,,3799,0.06911211460828781,0.9401184320449829,,,
8,,3849,0.05341076850891113,0.8587905764579773,,,
8,,3899,0.06787297129631042,0.9076148867607117,,,
8,,3949,0.038780808448791504,0.9215115308761597,,,
8,,3999,0.10737179964780807,0.9420250058174133,,,
8,,4049,0.06889543682336807,0.8960228562355042,,,
8,,4099,0.06562187522649765,0.914304256439209,,,
8,0.5253162980079651,4139,,,0.6669838249286394,0.07666436582803726,0.8409051895141602
9,,4149,0.05498708784580231,0.9129513502120972,,,
9,,4199,0.06426406651735306,0.9529440402984619,,,
9,,4249,0.041666850447654724,0.983302116394043,,,
9,,4299,0.056165967136621475,0.9408273100852966,,,
9,,4349,0.06504350900650024,0.9209110736846924,,,
9,,4399,0.054513610899448395,0.9112703800201416,,,
9,,4449,0.024069802835583687,0.9182591438293457,,,
9,,4499,0.05385880917310715,0.878090500831604,,,
9,,4549,0.048830438405275345,0.9079062342643738,,,
9,,4599,0.0800362229347229,0.9423447251319885,,,
9,0.5337669253349304,4599,,,0.6707217615876037,0.07999690622091293,0.8394343256950378
10,,4649,0.04155173897743225,0.9342515468597412,,,
10,,4699,0.038035906851291656,0.9334495067596436,,,
10,,4749,0.03141263872385025,0.9731284379959106,,,
10,,4799,0.04585552215576172,0.9822396636009216,,,
10,,4849,0.0366981215775013,0.9684926271438599,,,
10,,4899,0.03659650683403015,0.9578836560249329,,,
10,,4949,0.059973955154418945,0.9273619651794434,,,
10,,4999,0.11193622648715973,0.9397431015968323,,,
10,,5049,0.09677550941705704,0.9055030345916748,,,
10,0.5419124364852905,5059,,,0.6005844773684926,0.11399812996387482,0.7685285806655884
11,,5099,0.034663125872612,0.9689395427703857,,,
11,,5149,0.013687334954738617,0.9185581207275391,,,
11,,5199,0.04324362426996231,0.9395162463188171,,,
11,,5249,0.018639180809259415,0.9969452619552612,,,
11,,5299,0.03408183157444,0.8977546691894531,,,
11,,5349,0.03126310184597969,0.9631692171096802,,,
11,,5399,0.01629108004271984,0.9941275715827942,,,
11,,5449,0.02816278487443924,0.9413571357727051,,,
11,,5499,0.032319121062755585,0.9371544122695923,,,
11,0.5413689613342285,5519,,,0.5753024330569526,0.1765584945678711,0.6757150292396545
12,,5549,0.07700148969888687,0.9504022598266602,,,
12,,5599,0.023143092170357704,0.9476666450500488,,,
12,,5649,0.06817692518234253,0.8783383369445801,,,
12,,5699,0.03143385052680969,0.9210203886032104,,,
12,,5749,0.03707301989197731,0.9361684918403625,,,
12,,5799,0.050393134355545044,0.9301860332489014,,,
12,,5849,0.06458432972431183,0.8962093591690063,,,
12,,5899,0.04380162060260773,0.9710910320281982,,,
12,,5949,0.05552308261394501,0.9060968160629272,,,
12,0.5386515259742737,5979,,,0.5105341851298083,0.39993420243263245,0.4206441640853882
13,,5999,0.0525025948882103,0.9011832475662231,,,
13,,6049,0.030362866818904877,0.8562260866165161,,,
13,,6099,0.04975785315036774,1.0039141178131104,,,
13,,6149,0.014814682304859161,0.9069238901138306,,,
13,,6199,0.04330350086092949,0.9881389141082764,,,
