epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,1,,,1.827784538269043,1.211463451385498
1,3,,,1.8358261585235596,1.2411949634552002
2,5,,,1.819570779800415,1.0425132513046265
3,7,,,1.8087210655212402,1.2888128757476807
4,9,,,1.8161686658859253,1.4305273294448853
5,11,,,1.8322786092758179,1.3319146633148193
6,13,,,1.8113152980804443,1.3159644603729248
7,15,,,1.8331313133239746,1.2388020753860474
8,17,,,1.811816692352295,1.1570348739624023
9,19,,,1.8249963521957397,1.2420573234558105
10,21,,,1.8084508180618286,1.253075122833252
11,23,,,1.8051812648773193,1.2181651592254639
12,25,,,1.8202016353607178,1.2856230735778809
13,27,,,1.8091490268707275,1.277817964553833
14,29,,,1.8238825798034668,1.2451015710830688
15,31,,,1.826970100402832,1.2479788064956665
16,33,,,1.809893250465393,1.2719383239746094
17,35,,,1.8219568729400635,1.2799861431121826
18,37,,,1.8157275915145874,1.2691693305969238
19,39,,,1.8215208053588867,1.2594150304794312
20,41,,,1.8229235410690308,1.2344361543655396
21,43,,,1.8260997533798218,1.137096881866455
22,45,,,1.815455675125122,1.209537386894226
23,47,,,1.812264323234558,1.213733434677124
24,49,2.681326150894165,1.6076810359954834,,
24,49,,,1.8119275569915771,1.2279881238937378
25,51,,,1.8085576295852661,1.2602012157440186
26,53,,,1.8192260265350342,1.3176014423370361
27,55,,,1.8331050872802734,1.2241791486740112
28,57,,,1.8186110258102417,1.2592921257019043
29,59,,,1.8111331462860107,1.1315513849258423
30,61,,,1.8086168766021729,1.2973154783248901
31,63,,,1.8139758110046387,1.2378050088882446
32,65,,,1.8299717903137207,1.2078999280929565
33,67,,,1.8238930702209473,1.0658557415008545
34,69,,,1.82205069065094,1.2461371421813965
35,71,,,1.818261981010437,1.2734917402267456
36,73,,,1.8171453475952148,1.3787974119186401
37,75,,,1.81907320022583,1.1889182329177856
38,77,,,1.8279473781585693,1.1216436624526978
39,79,,,1.8220086097717285,1.1559300422668457
