Época 97: d_loss = 0.3299, g_loss = 0.2074
Época 98: d_loss = 0.3257, g_loss = 0.2252
Época 99: d_loss = 0.3417, g_loss = 0.2106
Época 100: d_loss = 0.3555, g_loss = 0.2111
Época 101: d_loss = 0.3265, g_loss = 0.2191
Época 102: d_loss = 0.3307, g_loss = 0.2306
Época 103: d_loss = 0.3217, g_loss = 0.2110
Época 104: d_loss = 0.3213, g_loss = 0.2057
Época 105: d_loss = 0.2907, g_loss = 0.2292
Época 106: d_loss = 0.3184, g_loss = 0.2097
Época 107: d_loss = 0.3449, g_loss = 0.2153
Época 108: d_loss = 0.3280, g_loss = 0.2309
Época 109: d_loss = 0.3503, g_loss = 0.2219
Época 110: d_loss = 0.3104, g_loss = 0.2086
Época 111: d_loss = 0.3183, g_loss = 0.2211
Época 112: d_loss = 0.3189, g_loss = 0.2188
Época 113: d_loss = 0.3338, g_loss = 0.2280
Época 114: d_loss = 0.3027, g_loss = 0.2238
Época 115: d_loss = 0.3050, g_loss = 0.2205
Época 116: d_loss = 0.3202, g_loss = 0.2164
Época 117: d_loss = 0.3161, g_loss = 0.2211
Época 118: d_loss = 0.3092, g_loss = 0.2226
Época 119: d_loss = 0.3363, g_loss = 0.2240
Época 120: d_loss = 0.3126, g_loss = 0.2278
Época 121: d_loss = 0.2950, g_loss = 0.2315
Época 122: d_loss = 0.3255, g_loss = 0.2199
Época 123: d_loss = 0.3280, g_loss = 0.2161
Época 124: d_loss = 0.2791, g_loss = 0.2237
Época 125: d_loss = 0.3216, g_loss = 0.2160
Época 126: d_loss = 0.3181, g_loss = 0.2248
Época 127: d_loss = 0.2994, g_loss = 0.2227
Época 128: d_loss = 0.3113, g_loss = 0.2124
Época 129: d_loss = 0.3071, g_loss = 0.2272
Época 130: d_loss = 0.3253, g_loss = 0.2324
Época 131: d_loss = 0.2909, g_loss = 0.2222
Época 132: d_loss = 0.2876, g_loss = 0.2123
Época 133: d_loss = 0.3502, g_loss = 0.2254
Época 134: d_loss = 0.3086, g_loss = 0.2278
Época 135: d_loss = 0.2950, g_loss = 0.2216
Época 136: d_loss = 0.3189, g_loss = 0.2120
Época 137: d_loss = 0.2780, g_loss = 0.2326
Época 138: d_loss = 0.3019, g_loss = 0.2380
Época 139: d_loss = 0.3229, g_loss = 0.2147
Época 140: d_loss = 0.3230, g_loss = 0.2238
Época 141: d_loss = 0.3067, g_loss = 0.2325
Época 142: d_loss = 0.3205, g_loss = 0.2235
Época 143: d_loss = 0.2872, g_loss = 0.2262
Época 144: d_loss = 0.3038, g_loss = 0.2399
Época 145: d_loss = 0.2981, g_loss = 0.2221
Época 146: d_loss = 0.3001, g_loss = 0.2128
Época 147: d_loss = 0.3316, g_loss = 0.2408
Época 148: d_loss = 0.2871, g_loss = 0.2331
Época 149: d_loss = 0.3239, g_loss = 0.2098
