epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,49,0.15414518117904663,0.8111142516136169,,,
0,99,0.24210047721862793,0.6977947950363159,,,
0,149,0.5457217693328857,0.3280988335609436,,,
0,199,0.29094111919403076,0.5486990809440613,,,
0,249,0.3760606646537781,0.51552414894104,,,
0,299,0.3500669598579407,0.4047943353652954,,,
0,349,0.3748127818107605,0.6036897897720337,,,
0,399,0.35425958037376404,0.4474163353443146,,,
0,449,0.2348739206790924,0.6738413572311401,,,
0,459,,,0.7074894658148702,0.16488368809223175,0.9660261273384094
1,499,0.48517265915870667,0.3569933772087097,,,
1,549,0.17082522809505463,0.614580512046814,,,
1,599,0.4235757887363434,0.3398813009262085,,,
1,649,0.23027515411376953,0.555277407169342,,,
1,699,0.4922632873058319,0.439591646194458,,,
1,749,0.2557997703552246,0.5562608242034912,,,
1,799,0.23730117082595825,0.6274545192718506,,,
1,849,0.3865482211112976,0.4223107695579529,,,
1,899,0.269848108291626,0.7730537056922913,,,
1,919,,,0.4999320375152916,0.32458534836769104,0.4741043448448181
2,949,0.15530239045619965,0.7928882837295532,,,
2,999,0.2439357340335846,0.6355103254318237,,,
2,1049,0.10325498878955841,0.9731380939483643,,,
2,1099,0.0769675001502037,0.9543863534927368,,,
2,1149,0.05422515794634819,0.9729437828063965,,,
2,1199,0.03957318514585495,0.9201369881629944,,,
2,1249,0.04379361495375633,0.967036247253418,,,
2,1299,0.08747056871652603,0.9120588898658752,,,
2,1349,0.03481020778417587,0.9724910259246826,,,
2,1379,,,0.8612206062253636,0.070896677672863,1.1104353666305542
3,1399,0.06334786117076874,0.9640490412712097,,,
3,1449,0.05258011445403099,0.9362902045249939,,,
3,1499,0.04970042407512665,0.9644150733947754,,,
3,1549,0.05704151839017868,0.9215093851089478,,,
3,1599,0.03660427778959274,0.9690260887145996,,,
3,1649,0.07012543827295303,0.9519580602645874,,,
3,1699,0.10517711192369461,0.9486145973205566,,,
3,1749,0.07903636991977692,0.910426139831543,,,
3,1799,0.07602132856845856,0.9645727872848511,,,
3,1839,,,0.8428707353540845,0.09998416900634766,1.0785002708435059
4,1849,0.13270772993564606,0.7874022126197815,,,
4,1899,0.14450238645076752,0.7498475313186646,,,
4,1949,0.1718815267086029,0.8709237575531006,,,
4,1999,0.1463598757982254,0.7483807802200317,,,
4,2049,0.13863903284072876,0.8480076789855957,,,
4,2099,0.11404451727867126,0.802528440952301,,,
4,2149,0.10128156840801239,0.8250068426132202,,,
4,2199,0.08914652466773987,0.8783802390098572,,,
4,2249,0.09028986096382141,0.7952795028686523,,,
4,2299,0.08622166514396667,0.7681834697723389,,,
4,2299,,,0.7452086448280549,0.10156266391277313,0.9658084511756897
